
image=images/powers/pulseplasma.png

[power]
frames=4
duration=1s
type=looped
active_frame=all
frame=0,0,0,320,153,47,151,43
frame=0,1,125,928,117,70,115,96
frame=0,2,199,291,49,87,21,100
frame=0,3,119,848,119,68,37,97
frame=0,4,0,141,150,44,12,42
frame=0,5,0,916,117,82,24,51
frame=0,6,150,0,49,98,27,54
frame=0,7,0,844,119,80,104,29
frame=1,0,0,0,153,47,152,43
frame=1,1,126,380,122,80,115,101
frame=1,2,199,0,49,98,21,105
frame=1,3,127,460,122,80,36,101
frame=1,4,0,185,150,44,12,42
frame=1,5,0,761,122,75,26,50
frame=1,6,150,197,49,91,27,54
frame=1,7,0,681,122,79,104,31
frame=2,0,0,47,153,47,152,43
frame=2,1,124,540,124,79,115,99
frame=2,2,150,98,49,98,21,103
frame=2,3,122,693,122,80,35,99
frame=2,4,0,230,150,44,12,42
frame=2,5,124,618,124,75,27,48
frame=2,6,150,289,49,91,27,52
frame=2,7,122,773,122,75,104,29
frame=3,0,0,94,153,47,152,43
frame=3,1,0,446,127,77,117,99
frame=3,2,199,98,49,96,21,103
frame=3,3,0,603,124,77,36,99
frame=3,4,0,274,150,44,12,42
frame=3,5,0,366,127,80,26,49
frame=3,6,199,195,49,96,27,53
frame=3,7,0,524,124,80,104,29
